Customer,Year,Date,QC_Number,Customer Complaint,DTC,Failure Analysis,Warranty Decision,Supplier
M&M,2021,2021-01-31,QC-2021-2306,Low pickup,B1234,Connector damage,Customer Failure,Bosch
Honda,2019,2019-01-28,QC-2019-6621,Vehicle not starting,"P6768, B1234",controller failure due to supplier production failure,Customer Failure,STM
Kia,2020,2020-11-23,QC-2020-7756,Starting Problem,"C0045, P6768, P0987",ASIC CJ327 failure due to EOS,According to Specification,Hanon
M&M,2024,2024-04-16,QC-2024-3036,High fuel consumption,P0455,controller failure due to supplier production failure,Production Failure,STM
Toyota,2024,2024-10-07,QC-2024-6426,Engine jerking during acceleration,NA,Connector damage,According to Specification,Delphi
TATA,2023,2023-11-07,QC-2023-6817,Engine jerking during acceleration,"P6344, U0100",Sensor short due to moisture,According to Specification,Delphi
Kia,2020,2020-03-07,QC-2020-3753,Brake warning light ON,,Sensor short due to moisture,According to Specification,NA
M&M,2019,2019-08-19,QC-2019-6709,High fuel consumption,"P0455, P0301",Sensor short due to moisture,Production Failure,STM
TATA,2019,2019-10-14,QC-2019-8319,Engine overheating,"P0301, C0045",Connector damage,Customer Failure,STM
TATA,2024,2024-08-04,QC-2024-1994,Engine jerking during acceleration,NA,ASIC CJ327 failure due to EOS,Production Failure,Bosch
Toyota,2022,2022-01-22,QC-2022-7367,Low pickup,"P1245, P0301, P0987",ASIC CJ327 failure due to EOS,According to Specification,Bosch
Ashok Leyland,2022,2022-02-15,QC-2022-5272,Vehicle not starting,"P5657, P1245, P6344",controller failure due to supplier production failure,Customer Failure,NA
Toyota,2024,2024-09-21,QC-2024-6052,High fuel consumption,P6768,Connector damage,Production Failure,STM
Ashok Leyland,2024,2024-12-21,QC-2024-9258,OBD Light ON,"P1245, P6344",Track burnt due to EOS,According to Specification,Delphi
Ashok Leyland,2024,2024-01-08,QC-2024-7738,Vehicle not starting,"P6344, P0987",Track burnt due to EOS,According to Specification,Delphi
TATA,2022,2022-04-16,QC-2022-1254,Engine jerking during acceleration,,Track burnt due to EOS,Production Failure,Hanon
Kia,2019,2019-04-24,QC-2019-1093,OBD Light ON,"P6344, P6768, C0045",ASIC CJ327 failure due to EOS,Production Failure,Hanon
Toyota,2024,2024-05-01,QC-2024-4749,Engine jerking during acceleration,,Sensor short due to moisture,According to Specification,Delphi
Hyundai,2024,2024-10-21,QC-2024-3058,High fuel consumption,"B1234, P5657",Track burnt due to EOS,According to Specification,Valeo
Ashok Leyland,2023,2023-08-25,QC-2023-5170,Engine jerking during acceleration,"P6768, P0455",ASIC CJ327 failure due to EOS,Production Failure,Delphi
TATA,2023,2023-03-07,QC-2023-2640,OBD Light ON,,Connector damage,Production Failure,NA
TATA,2020,2020-02-25,QC-2020-2121,Vehicle not starting,"C0045, P6768, P0455",NTF,Production Failure,Bosch
Kia,2021,2021-07-15,QC-2021-6516,Engine jerking during acceleration,NA,Track burnt due to EOS,According to Specification,Hanon
Ashok Leyland,2023,2023-08-23,QC-2023-3890,Vehicle not starting,NA,Connector damage,Production Failure,STM
Honda,2019,2019-11-23,QC-2019-6869,Starting Problem,"C0045, P0987, P0301",Track burnt due to EOS,According to Specification,STM
Honda,2024,2024-11-17,QC-2024-8730,Engine overheating,"P0987, P6768",controller failure due to supplier production failure,According to Specification,STM
Honda,2021,2021-05-11,QC-2021-4480,Engine jerking during acceleration,"P1245, B1234, P0301",Track burnt due to EOS,According to Specification,Hanon
Toyota,2023,2023-07-04,QC-2023-7624,Low pickup,"P0987, B1234",controller failure due to supplier production failure,Production Failure,Hanon
Ashok Leyland,2021,2021-07-30,QC-2021-8751,Engine jerking during acceleration,"P0987, P6344",NTF,According to Specification,Hanon
Honda,2023,2023-06-27,QC-2023-1437,Starting Problem,,ASIC CJ327 failure due to EOS,According to Specification,Valeo
Kia,2020,2020-04-09,QC-2020-6067,Low pickup,"P1245, C0045, P6768",Sensor short due to moisture,Production Failure,NA
M&M,2024,2024-12-30,QC-2024-4945,Engine overheating,NA,controller failure due to supplier production failure,Customer Failure,NA
M&M,2021,2021-07-14,QC-2021-9815,High fuel consumption,"B1234, C0045",Sensor short due to moisture,Customer Failure,NA
TATA,2024,2024-01-13,QC-2024-3791,Engine jerking during acceleration,P0301,NTF,Customer Failure,Valeo
Honda,2022,2022-09-29,QC-2022-5822,OBD Light ON,"P0987, P0301, P6768",NTF,Production Failure,NA
Ashok Leyland,2021,2021-12-19,QC-2021-5985,OBD Light ON,"P6768, C0045",controller failure due to supplier production failure,Customer Failure,Bosch
Honda,2019,2019-11-10,QC-2019-3239,Low pickup,U0100,NTF,According to Specification,Delphi
Toyota,2022,2022-08-15,QC-2022-4593,Starting Problem,NA,ASIC CJ327 failure due to EOS,Customer Failure,Delphi
M&M,2019,2019-09-16,QC-2019-1248,Starting Problem,,NTF,Customer Failure,Hanon
M&M,2023,2023-11-15,QC-2023-8321,Vehicle not starting,,ASIC CJ327 failure due to EOS,According to Specification,Delphi
Ashok Leyland,2019,2019-09-21,QC-2019-5465,Engine overheating,P6344,controller failure due to supplier production failure,Customer Failure,Hanon
Hyundai,2022,2022-04-06,QC-2022-5747,Engine overheating,"P5657, C0045, P1245",NTF,Production Failure,STM
Toyota,2021,2021-09-27,QC-2021-5508,Vehicle not starting,NA,ASIC CJ327 failure due to EOS,According to Specification,Valeo
TATA,2021,2021-11-23,QC-2021-7669,Rough idling,"P6768, B1234, P1245",Track burnt due to EOS,Customer Failure,Delphi
Ashok Leyland,2021,2021-11-10,QC-2021-1951,High fuel consumption,P1245,Sensor short due to moisture,According to Specification,STM
Honda,2023,2023-04-30,QC-2023-2691,Brake warning light ON,NA,Track burnt due to EOS,Production Failure,Hanon
Hyundai,2024,2024-03-05,QC-2024-5088,Engine overheating,"P1245, P5657, P0455",Track burnt due to EOS,According to Specification,STM
Kia,2023,2023-05-02,QC-2023-1796,Vehicle not starting,P1245,Sensor short due to moisture,Production Failure,Delphi
Ashok Leyland,2020,2020-08-16,QC-2020-9985,Starting Problem,,Track burnt due to EOS,According to Specification,STM
Hyundai,2023,2023-03-05,QC-2023-8496,OBD Light ON,,ASIC CJ327 failure due to EOS,Customer Failure,Valeo
Kia,2022,2022-03-15,QC-2022-5875,Vehicle not starting,"P6344, P0301",ASIC CJ327 failure due to EOS,According to Specification,Valeo
Toyota,2024,2024-08-14,QC-2024-4223,Vehicle not starting,P0987,Sensor short due to moisture,According to Specification,NA
M&M,2021,2021-09-22,QC-2021-7715,OBD Light ON,"P5657, B1234",Track burnt due to EOS,According to Specification,Valeo
Toyota,2022,2022-06-28,QC-2022-3915,Starting Problem,"B1234, U0100",Sensor short due to moisture,Production Failure,Delphi
TATA,2022,2022-08-08,QC-2022-5893,High fuel consumption,,controller failure due to supplier production failure,According to Specification,STM
M&M,2020,2020-12-22,QC-2020-2790,OBD Light ON,,NTF,Production Failure,Delphi
M&M,2023,2023-02-12,QC-2023-2046,Low pickup,,Connector damage,Production Failure,Bosch
Hyundai,2021,2021-04-15,QC-2021-4200,Rough idling,"P0301, B1234, P5657",controller failure due to supplier production failure,According to Specification,NA
Hyundai,2024,2024-12-23,QC-2024-6805,High fuel consumption,NA,Track burnt due to EOS,According to Specification,NA
Hyundai,2019,2019-12-30,QC-2019-1918,Engine jerking during acceleration,"P0987, P1245",Connector damage,Production Failure,Delphi
Ashok Leyland,2019,2019-05-02,QC-2019-6254,OBD Light ON,"P0455, P5657, U0100",controller failure due to supplier production failure,Production Failure,Valeo
Honda,2024,2024-03-30,QC-2024-7904,Vehicle not starting,NA,Track burnt due to EOS,According to Specification,Bosch
Hyundai,2024,2024-03-22,QC-2024-8203,Engine overheating,NA,NTF,Customer Failure,STM
Honda,2024,2024-07-07,QC-2024-6647,Engine overheating,"P6768, P0987, P1245",controller failure due to supplier production failure,Customer Failure,Hanon
Honda,2020,2020-11-19,QC-2020-7551,High fuel consumption,NA,Connector damage,Production Failure,Hanon
Honda,2020,2020-06-21,QC-2020-3711,Starting Problem,"B1234, P0455, P0301",Connector damage,According to Specification,Hanon
M&M,2023,2023-02-01,QC-2023-2709,Engine overheating,,Sensor short due to moisture,According to Specification,STM
Kia,2023,2023-04-14,QC-2023-3750,Engine jerking during acceleration,"P6344, U0100",Track burnt due to EOS,Production Failure,Delphi
Toyota,2021,2021-09-27,QC-2021-4596,Vehicle not starting,"B1234, U0100",controller failure due to supplier production failure,According to Specification,Bosch
TATA,2022,2022-10-13,QC-2022-9488,Vehicle not starting,NA,Connector damage,Customer Failure,NA
Hyundai,2020,2020-08-01,QC-2020-8866,Engine jerking during acceleration,"P6768, U0100, P1245",Connector damage,Customer Failure,Hanon
Hyundai,2022,2022-02-05,QC-2022-3766,High fuel consumption,"P0301, U0100",Track burnt due to EOS,Customer Failure,Bosch
Kia,2021,2021-12-16,QC-2021-9875,Starting Problem,NA,ASIC CJ327 failure due to EOS,Customer Failure,Hanon
Toyota,2023,2023-02-19,QC-2023-5202,Engine jerking during acceleration,NA,Track burnt due to EOS,Customer Failure,Hanon
Hyundai,2019,2019-08-18,QC-2019-4376,Vehicle not starting,NA,controller failure due to supplier production failure,Production Failure,Delphi
TATA,2020,2020-07-12,QC-2020-4430,Starting Problem,"P6768, C0045",Track burnt due to EOS,According to Specification,Hanon
Honda,2024,2024-04-17,QC-2024-1378,High fuel consumption,"U0100, C0045",controller failure due to supplier production failure,Production Failure,Hanon
Kia,2021,2021-08-06,QC-2021-8545,Starting Problem,NA,Sensor short due to moisture,Production Failure,Hanon
Honda,2022,2022-05-30,QC-2022-5835,OBD Light ON,P0987,controller failure due to supplier production failure,According to Specification,Hanon
M&M,2019,2019-08-29,QC-2019-8718,Starting Problem,NA,controller failure due to supplier production failure,Customer Failure,Delphi
Toyota,2020,2020-06-13,QC-2020-8454,Engine jerking during acceleration,NA,NTF,Customer Failure,Bosch
M&M,2022,2022-07-16,QC-2022-9921,Brake warning light ON,NA,Track burnt due to EOS,According to Specification,NA
Kia,2019,2019-03-15,QC-2019-7197,Rough idling,,ASIC CJ327 failure due to EOS,According to Specification,Hanon
Toyota,2024,2024-11-06,QC-2024-7947,Low pickup,"C0045, U0100, P5657",NTF,Customer Failure,Valeo
TATA,2019,2019-09-21,QC-2019-2471,Engine overheating,NA,ASIC CJ327 failure due to EOS,Customer Failure,Bosch
TATA,2022,2022-02-24,QC-2022-2667,Brake warning light ON,,Track burnt due to EOS,Production Failure,NA
Kia,2024,2024-08-29,QC-2024-5052,Vehicle not starting,NA,controller failure due to supplier production failure,Customer Failure,Hanon
TATA,2019,2019-09-26,QC-2019-7379,OBD Light ON,P6344,Track burnt due to EOS,Customer Failure,Hanon
M&M,2023,2023-08-27,QC-2023-5334,Brake warning light ON,NA,controller failure due to supplier production failure,Production Failure,Bosch
Ashok Leyland,2024,2024-11-03,QC-2024-6764,Low pickup,"C0045, P1245, P6344",Connector damage,Customer Failure,NA
TATA,2019,2019-10-12,QC-2019-3154,OBD Light ON,,Connector damage,Customer Failure,Bosch
Honda,2024,2024-07-29,QC-2024-4272,Starting Problem,,ASIC CJ327 failure due to EOS,Customer Failure,NA
M&M,2024,2024-05-05,QC-2024-7041,Vehicle not starting,"P0301, B1234",Sensor short due to moisture,Production Failure,STM
Ashok Leyland,2021,2021-10-18,QC-2021-8364,High fuel consumption,"B1234, U0100, C0045",controller failure due to supplier production failure,According to Specification,STM
Honda,2022,2022-06-09,QC-2022-3900,OBD Light ON,NA,controller failure due to supplier production failure,According to Specification,STM
Kia,2021,2021-10-26,QC-2021-8374,Engine jerking during acceleration,"P6344, P0987, P1245",Sensor short due to moisture,Production Failure,Valeo
Toyota,2021,2021-12-28,QC-2021-8615,OBD Light ON,"P1245, P0987",Sensor short due to moisture,According to Specification,Delphi
M&M,2024,2024-08-01,QC-2024-7846,Engine jerking during acceleration,P1245,NTF,Customer Failure,Valeo
Hyundai,2023,2023-08-02,QC-2023-1541,High fuel consumption,P6768,ASIC CJ327 failure due to EOS,According to Specification,Delphi
Hyundai,2019,2019-11-05,QC-2019-8709,Engine jerking during acceleration,"P6344, P1245, U0100",Connector damage,Production Failure,Valeo
M&M,2019,2019-08-24,QC-2019-2520,Engine overheating,P5657,controller failure due to supplier production failure,Production Failure,Hanon
M&M,2020,2020-12-17,QC-2020-6357,Brake warning light ON,P6768,Connector damage,Customer Failure,Hanon
Kia,2021,2021-11-04,QC-2021-3845,Starting Problem,"P0455, P1245",Connector damage,According to Specification,STM
Toyota,2020,2020-12-04,QC-2020-8367,Engine jerking during acceleration,"P6768, P6344, P0455",Connector damage,According to Specification,NA
Kia,2021,2021-07-23,QC-2021-2198,Engine jerking during acceleration,"P0987, P0455, P6344",Track burnt due to EOS,Customer Failure,Hanon
Hyundai,2021,2021-10-13,QC-2021-1715,OBD Light ON,P6768,NTF,Customer Failure,Delphi
TATA,2019,2019-01-03,QC-2019-1437,Engine overheating,NA,NTF,Customer Failure,Bosch
Ashok Leyland,2022,2022-07-09,QC-2022-8994,Starting Problem,B1234,Connector damage,Customer Failure,Bosch
Hyundai,2022,2022-07-14,QC-2022-6686,Vehicle not starting,"P0987, P0455, P5657",Connector damage,According to Specification,STM
Honda,2022,2022-12-22,QC-2022-1080,Engine overheating,"P0455, B1234",ASIC CJ327 failure due to EOS,According to Specification,NA
TATA,2022,2022-11-02,QC-2022-2550,Engine overheating,"U0100, P6768",Connector damage,Customer Failure,Bosch
Hyundai,2021,2021-06-17,QC-2021-9405,OBD Light ON,"P6344, P6768",Sensor short due to moisture,Production Failure,Delphi
Hyundai,2023,2023-03-05,QC-2023-6766,Vehicle not starting,NA,NTF,According to Specification,Delphi
TATA,2024,2024-10-14,QC-2024-4799,Engine jerking during acceleration,NA,Track burnt due to EOS,Customer Failure,Delphi
Hyundai,2023,2023-10-15,QC-2023-8999,Vehicle not starting,C0045,controller failure due to supplier production failure,Production Failure,NA
Toyota,2020,2020-02-18,QC-2020-8136,Engine jerking during acceleration,,controller failure due to supplier production failure,Customer Failure,NA
M&M,2021,2021-01-13,QC-2021-4599,Starting Problem,"P0987, P0455, P6768",controller failure due to supplier production failure,Customer Failure,NA
Kia,2021,2021-04-12,QC-2021-4549,OBD Light ON,,Track burnt due to EOS,According to Specification,Delphi
Kia,2021,2021-09-30,QC-2021-1712,Vehicle not starting,"P6768, P0987, P0455",controller failure due to supplier production failure,According to Specification,Hanon
M&M,2023,2023-04-14,QC-2023-2860,Brake warning light ON,,Sensor short due to moisture,According to Specification,Bosch
Honda,2023,2023-02-04,QC-2023-8242,OBD Light ON,P6768,controller failure due to supplier production failure,Customer Failure,Hanon
TATA,2022,2022-07-25,QC-2022-5286,Engine jerking during acceleration,NA,NTF,Customer Failure,Hanon
Honda,2019,2019-04-06,QC-2019-8424,Engine jerking during acceleration,"P6768, P1245, C0045",ASIC CJ327 failure due to EOS,Production Failure,NA
Toyota,2020,2020-10-19,QC-2020-7737,Rough idling,"P5657, P6768, P0987",ASIC CJ327 failure due to EOS,Production Failure,Delphi
Hyundai,2023,2023-10-30,QC-2023-6616,Brake warning light ON,P0301,NTF,According to Specification,NA
Kia,2021,2021-05-19,QC-2021-4493,Vehicle not starting,,Sensor short due to moisture,Production Failure,Bosch
TATA,2023,2023-11-21,QC-2023-5161,Engine overheating,,controller failure due to supplier production failure,According to Specification,Delphi
M&M,2019,2019-03-23,QC-2019-2486,High fuel consumption,,Connector damage,Production Failure,STM
TATA,2020,2020-06-16,QC-2020-5697,Engine jerking during acceleration,"P1245, P0987, P5657",Sensor short due to moisture,Customer Failure,Bosch
Hyundai,2022,2022-09-19,QC-2022-3377,Vehicle not starting,,Sensor short due to moisture,Production Failure,Valeo
Ashok Leyland,2021,2021-10-17,QC-2021-3593,OBD Light ON,"P6344, P6768, B1234",ASIC CJ327 failure due to EOS,Production Failure,Hanon
Hyundai,2022,2022-01-07,QC-2022-2367,Rough idling,NA,Track burnt due to EOS,Customer Failure,STM
Honda,2023,2023-12-13,QC-2023-1393,Engine jerking during acceleration,,controller failure due to supplier production failure,Customer Failure,Bosch
Toyota,2021,2021-02-14,QC-2021-8606,Low pickup,NA,NTF,Production Failure,Valeo
TATA,2022,2022-05-01,QC-2022-5893,Rough idling,,controller failure due to supplier production failure,Production Failure,Delphi
Ashok Leyland,2024,2024-04-18,QC-2024-3810,OBD Light ON,"U0100, B1234",NTF,Customer Failure,Delphi
Honda,2021,2021-12-11,QC-2021-8978,Starting Problem,,NTF,Customer Failure,Delphi
Hyundai,2019,2019-10-17,QC-2019-2605,Engine overheating,"P0301, P0987, P6768",ASIC CJ327 failure due to EOS,Customer Failure,Bosch
Honda,2020,2020-02-06,QC-2020-2148,Rough idling,"P0455, B1234",Track burnt due to EOS,Customer Failure,Valeo
M&M,2019,2019-05-09,QC-2019-8389,Engine overheating,"C0045, P1245, P6768",NTF,According to Specification,Delphi
Hyundai,2024,2024-03-31,QC-2024-3074,Rough idling,NA,Connector damage,Customer Failure,Delphi
TATA,2023,2023-07-07,QC-2023-4010,Rough idling,NA,Sensor short due to moisture,According to Specification,Delphi
Kia,2021,2021-05-10,QC-2021-9626,Starting Problem,,ASIC CJ327 failure due to EOS,Customer Failure,Delphi
M&M,2024,2024-03-22,QC-2024-3467,Vehicle not starting,P0455,Connector damage,Customer Failure,Bosch
Kia,2024,2024-02-21,QC-2024-6484,High fuel consumption,,controller failure due to supplier production failure,Customer Failure,NA
Kia,2020,2020-10-27,QC-2020-6324,Engine overheating,,Track burnt due to EOS,Customer Failure,Valeo
Hyundai,2023,2023-05-16,QC-2023-3653,Starting Problem,"P1245, P0987",NTF,Customer Failure,Hanon
M&M,2023,2023-02-24,QC-2023-5208,Engine jerking during acceleration,P1245,Track burnt due to EOS,Customer Failure,Delphi
TATA,2022,2022-09-28,QC-2022-9548,Engine overheating,P0301,Connector damage,Customer Failure,Valeo
Toyota,2021,2021-03-24,QC-2021-1559,Rough idling,"P0455, P5657",Track burnt due to EOS,According to Specification,Hanon
Ashok Leyland,2023,2023-05-27,QC-2023-9332,OBD Light ON,,ASIC CJ327 failure due to EOS,According to Specification,Hanon
M&M,2020,2020-10-09,QC-2020-4677,Vehicle not starting,P6344,Connector damage,According to Specification,STM
Toyota,2021,2021-01-01,QC-2021-2478,Engine overheating,,controller failure due to supplier production failure,Customer Failure,NA
Toyota,2019,2019-06-13,QC-2019-3316,Engine overheating,,Connector damage,Production Failure,NA
Ashok Leyland,2022,2022-10-14,QC-2022-4547,Engine overheating,NA,ASIC CJ327 failure due to EOS,Production Failure,STM
Hyundai,2022,2022-11-26,QC-2022-5093,Low pickup,"P6768, C0045",Sensor short due to moisture,Production Failure,Bosch
TATA,2022,2022-05-08,QC-2022-8102,High fuel consumption,"P0987, P6344, B1234",Sensor short due to moisture,According to Specification,Hanon
M&M,2021,2021-04-16,QC-2021-5207,Low pickup,NA,controller failure due to supplier production failure,Production Failure,NA
TATA,2021,2021-11-02,QC-2021-3120,OBD Light ON,P6768,Track burnt due to EOS,According to Specification,Valeo
Honda,2019,2019-01-20,QC-2019-2740,Vehicle not starting,"P1245, P0987",NTF,Customer Failure,Delphi
M&M,2020,2020-05-24,QC-2020-8523,Brake warning light ON,NA,Track burnt due to EOS,According to Specification,NA
Toyota,2023,2023-03-31,QC-2023-2737,High fuel consumption,"P5657, C0045, P0301",Track burnt due to EOS,Customer Failure,STM
Hyundai,2021,2021-05-05,QC-2021-7326,Rough idling,NA,controller failure due to supplier production failure,Production Failure,Bosch
Honda,2019,2019-12-17,QC-2019-9556,OBD Light ON,"C0045, P0987, P6768",Connector damage,Customer Failure,STM
Ashok Leyland,2024,2024-02-23,QC-2024-5389,Low pickup,"P5657, P6344, P0455",controller failure due to supplier production failure,According to Specification,Valeo
Hyundai,2023,2023-01-11,QC-2023-2728,Low pickup,P1245,Track burnt due to EOS,Production Failure,STM
Toyota,2020,2020-10-01,QC-2020-5350,High fuel consumption,"U0100, P0987",Connector damage,Customer Failure,Bosch
Ashok Leyland,2023,2023-03-12,QC-2023-8718,Starting Problem,NA,controller failure due to supplier production failure,Customer Failure,NA
Ashok Leyland,2019,2019-03-10,QC-2019-4257,Low pickup,"C0045, P0301, B1234",controller failure due to supplier production failure,According to Specification,NA
Toyota,2023,2023-03-25,QC-2023-3705,Low pickup,"U0100, P1245",NTF,According to Specification,STM
M&M,2019,2019-02-24,QC-2019-2996,Low pickup,"P6344, B1234, P0455",Sensor short due to moisture,Production Failure,Hanon
TATA,2023,2023-12-31,QC-2023-2858,Low pickup,"C0045, P6768",controller failure due to supplier production failure,Production Failure,STM
Kia,2021,2021-01-27,QC-2021-2670,Engine jerking during acceleration,NA,NTF,According to Specification,Hanon
Ashok Leyland,2020,2020-07-31,QC-2020-4743,Starting Problem,NA,controller failure due to supplier production failure,Customer Failure,Bosch
TATA,2022,2022-09-06,QC-2022-1972,Rough idling,"U0100, P5657, P6768",Track burnt due to EOS,According to Specification,Valeo
Hyundai,2023,2023-10-25,QC-2023-3141,Engine overheating,"P1245, B1234",ASIC CJ327 failure due to EOS,Production Failure,Bosch
Kia,2024,2024-10-15,QC-2024-4269,Engine overheating,P1245,controller failure due to supplier production failure,Production Failure,STM
TATA,2024,2024-04-16,QC-2024-7109,Engine overheating,NA,Track burnt due to EOS,Customer Failure,Hanon
M&M,2022,2022-03-10,QC-2022-5007,Engine overheating,,controller failure due to supplier production failure,Production Failure,NA
Toyota,2021,2021-12-17,QC-2021-7609,Rough idling,NA,controller failure due to supplier production failure,Production Failure,NA
Ashok Leyland,2021,2021-01-04,QC-2021-1568,Engine overheating,P6768,Connector damage,Production Failure,NA
Hyundai,2019,2019-03-05,QC-2019-1686,Rough idling,"P0455, P5657, B1234",Sensor short due to moisture,Production Failure,NA
Hyundai,2023,2023-02-28,QC-2023-2866,High fuel consumption,,Connector damage,According to Specification,Bosch
Honda,2023,2023-04-13,QC-2023-2240,Vehicle not starting,NA,Connector damage,According to Specification,Bosch
TATA,2020,2020-06-08,QC-2020-5629,Rough idling,P0301,NTF,Production Failure,Bosch
Toyota,2021,2021-02-26,QC-2021-6229,Vehicle not starting,"P1245, P0987, P0301",ASIC CJ327 failure due to EOS,Customer Failure,STM
Hyundai,2020,2020-09-21,QC-2020-6252,Brake warning light ON,P0455,Connector damage,Customer Failure,Hanon
Kia,2024,2024-10-19,QC-2024-2210,Vehicle not starting,NA,NTF,Production Failure,NA
Kia,2021,2021-11-29,QC-2021-3969,Rough idling,NA,ASIC CJ327 failure due to EOS,According to Specification,NA
M&M,2019,2019-08-05,QC-2019-7227,Starting Problem,P0301,NTF,Production Failure,Hanon
Hyundai,2020,2020-05-20,QC-2020-4823,High fuel consumption,"U0100, C0045",Connector damage,Customer Failure,Delphi
Toyota,2023,2023-12-24,QC-2023-9294,Rough idling,"P5657, P1245",ASIC CJ327 failure due to EOS,Customer Failure,STM
Honda,2022,2022-08-21,QC-2022-4123,Low pickup,,Connector damage,Production Failure,NA
Hyundai,2024,2024-05-06,QC-2024-8866,Engine overheating,NA,Track burnt due to EOS,According to Specification,Bosch
TATA,2019,2019-02-13,QC-2019-8488,Engine overheating,"P6768, P0455",controller failure due to supplier production failure,According to Specification,Valeo
Toyota,2022,2022-11-11,QC-2022-9128,OBD Light ON,"P0455, U0100",NTF,According to Specification,STM
Toyota,2023,2023-02-09,QC-2023-7816,OBD Light ON,,ASIC CJ327 failure due to EOS,Production Failure,Valeo
TATA,2021,2021-02-22,QC-2021-5865,Brake warning light ON,P0987,NTF,Production Failure,STM
Toyota,2023,2023-02-23,QC-2023-5361,Vehicle not starting,"P1245, U0100",Connector damage,Customer Failure,Valeo
Toyota,2021,2021-02-04,QC-2021-5805,Vehicle not starting,"C0045, U0100, P0455",controller failure due to supplier production failure,Production Failure,NA
Hyundai,2019,2019-03-25,QC-2019-9291,OBD Light ON,,ASIC CJ327 failure due to EOS,According to Specification,Delphi
Toyota,2023,2023-12-15,QC-2023-5086,Starting Problem,,NTF,According to Specification,STM
M&M,2024,2024-10-31,QC-2024-8109,Vehicle not starting,"P0301, P1245, B1234",Connector damage,According to Specification,STM
Hyundai,2020,2020-02-29,QC-2020-6798,Rough idling,,Connector damage,According to Specification,Delphi
Kia,2023,2023-04-21,QC-2023-5054,Vehicle not starting,"P1245, P0987, C0045",Connector damage,Production Failure,Hanon
Toyota,2021,2021-08-22,QC-2021-1428,Low pickup,NA,controller failure due to supplier production failure,According to Specification,NA
Hyundai,2023,2023-10-04,QC-2023-7167,High fuel consumption,"P1245, C0045, P6768",NTF,Production Failure,Bosch
Hyundai,2023,2023-11-22,QC-2023-4755,Vehicle not starting,NA,NTF,Production Failure,NA
Hyundai,2021,2021-07-14,QC-2021-2457,OBD Light ON,"P0987, P0301, P1245",Sensor short due to moisture,Production Failure,STM
Ashok Leyland,2020,2020-01-29,QC-2020-9548,Low pickup,,ASIC CJ327 failure due to EOS,Production Failure,Delphi
Honda,2024,2024-12-13,QC-2024-4282,Starting Problem,NA,ASIC CJ327 failure due to EOS,Customer Failure,Hanon
M&M,2022,2022-02-18,QC-2022-4249,Engine jerking during acceleration,P0987,Sensor short due to moisture,According to Specification,Delphi
Hyundai,2024,2024-09-22,QC-2024-8183,High fuel consumption,"B1234, P6344, P1245",Track burnt due to EOS,According to Specification,NA
Kia,2023,2023-09-20,QC-2023-3099,Low pickup,"P6344, P0455",Sensor short due to moisture,According to Specification,STM
Honda,2023,2023-03-01,QC-2023-1070,Engine jerking during acceleration,"P0301, C0045",NTF,Production Failure,Valeo
M&M,2024,2024-09-05,QC-2024-2845,Vehicle not starting,,Track burnt due to EOS,According to Specification,Bosch
Hyundai,2022,2022-12-28,QC-2022-4118,Starting Problem,NA,ASIC CJ327 failure due to EOS,Production Failure,Hanon
Ashok Leyland,2024,2024-11-30,QC-2024-7056,Starting Problem,P0455,Track burnt due to EOS,Production Failure,NA
Honda,2024,2024-06-03,QC-2024-2647,Vehicle not starting,B1234,controller failure due to supplier production failure,According to Specification,STM
Honda,2023,2023-07-05,QC-2023-8875,Engine overheating,"P0987, U0100",Track burnt due to EOS,According to Specification,NA
M&M,2019,2019-08-30,QC-2019-9749,Rough idling,B1234,Connector damage,According to Specification,Bosch
TATA,2021,2021-07-30,QC-2021-5538,Rough idling,"P6344, C0045",controller failure due to supplier production failure,Customer Failure,STM
Honda,2022,2022-12-11,QC-2022-9436,Engine jerking during acceleration,,Track burnt due to EOS,According to Specification,STM
Kia,2021,2021-05-28,QC-2021-6597,Brake warning light ON,,NTF,According to Specification,Bosch
Kia,2024,2024-02-23,QC-2024-4464,Engine overheating,"P6768, P1245",ASIC CJ327 failure due to EOS,According to Specification,NA
M&M,2021,2021-10-03,QC-2021-5314,Low pickup,"P6344, P6768",controller failure due to supplier production failure,According to Specification,Bosch
TATA,2024,2024-07-26,QC-2024-6681,High fuel consumption,"C0045, P0455",NTF,According to Specification,Bosch
TATA,2019,2019-02-06,QC-2019-5240,OBD Light ON,"P5657, P6768, C0045",Connector damage,Production Failure,Bosch
Honda,2024,2024-09-07,QC-2024-7647,Engine jerking during acceleration,NA,ASIC CJ327 failure due to EOS,Customer Failure,NA
TATA,2021,2021-02-08,QC-2021-3990,Engine jerking during acceleration,,controller failure due to supplier production failure,Customer Failure,STM
Honda,2019,2019-05-31,QC-2019-8214,Vehicle not starting,,NTF,According to Specification,Bosch
Kia,2024,2024-12-29,QC-2024-4196,Low pickup,"C0045, P1245, P0455",Connector damage,According to Specification,NA
Hyundai,2023,2023-06-04,QC-2023-5898,Engine jerking during acceleration,P0455,Sensor short due to moisture,Production Failure,STM
Kia,2021,2021-10-15,QC-2021-1547,OBD Light ON,"P6344, P0455",Track burnt due to EOS,According to Specification,STM
Honda,2022,2022-09-30,QC-2022-9437,Vehicle not starting,NA,Connector damage,Customer Failure,Valeo
